English words/sentences,Vietnamese words/sentences
My shoes are too small. I need new ones.,Giày của tôi quá nhỏ. Tôi cần giày mới.
My shoes are too small. I need new ones.,Đôi giày của tôi quá nhỏ. Tôi cần 1 đôi mới
We're getting out of here. The cops are coming.,Mau rời khỏi đây. Cảnh sát tới bây giờ.
We're getting out of here. The cops are coming.,Chúng tôi đang đi ra ngoài. Cảnh sát đang đến
Merry Christmas!,Chúc mừng giáng sinh!
"""If you're tired, why don't you go to sleep?"" ""Because if I go to sleep now I will wake up too early.""","""Nếu mệt thì ngủ một chút đi?"" ""Bây giờ mà ngủ thì sẽ dậy sớm lắm."""
You should have listened to me.,Bạn nên lắng nghe tôi
What does it involve?,Nó liên quan đến cái gì
He would be glad to hear that.,Anh ấy sẽ cười khi nghe điều đó
Don't ask what they think. Ask what they do.,Đừng hỏi họ nghĩ gì . Hãy hỏi họ làm gì
"When you're trying to prove something, it helps to know it's true.",Nếu muốn chứng minh điều gì thì trước hết phải biết là nó đúng đã.
Anything that can be misunderstood will be.,Cái gì dễ bị hiểu lầm thì sẽ luôn như vậy thôi.
Anything that can be misunderstood will be.,Bất cứ thứ gì mà có thể bị hiểu lầm thì sẽ luôn như vậy
Why is life so full of suffering?,Tại sao cuộc lại đầy những đau khổ vậy
I would like to give him a present for his birthday.,Tôi sẽ rất thích tặng anh ấy 1 món quá cho ngày sinh nhật của anh ấy
I'm starving!,Tôi đói quá rồi!
I have so much work that I will stay for one more hour.,"Tôi còn nhiều việc phải làm quá, chắc phải ở lại thêm một tiếng đồng hồ nữa."
I am married and have two children.,Tôi có chồng và hai đứa con.
I am married and have two children.,Tôi đã cưới và có 2 đứa con
He plays the piano very well.,Anh ấy chơi piano rất giỏi
I'd like to study in Paris.,Tôi muốn đi du học ở Paris.
I'd like to study in Paris.,tôi thích học ở pháp
You don't know who I am.,Bạn không biết tôi là ai
Why don't you eat vegetables?,Sao không ăn rau vậy?
Why don't you eat vegetables?,Tại sao bạn không ăn rau củ
Why do people go to the movies?,Tại sao mọi người đi xem phim
I'm undressing.,Tôi đang cởi quần áo
The car crashed into the wall.,Cái xe đã đụng vô tường.
The car crashed into the wall.,Chiếc xe hơi đã đâm vào tường.
The car crashed into the wall.,Chiếc xe ô tô đã đâm vào tường.
The wind calmed down.,cơn gió đã giảm xuống
"Who searches, finds.",Tìm thì sẽ thấy.
Rome wasn't built in a day.,Rome đã không được xây trong 1 ngày
"""Have you finished?"" ""On the contrary, I have not even begun yet.""","""Xong chưa vậy?"" ""Tôi còn chưa bắt đầu nữa mà."""
"""Good morning"", said Tom with a smile.","""Chào buổi sáng"" Tom mỉm cười và nói."
Wine is poetry in bottles.,"Rượu vang, đó là thơ đóng chai."
Wine is poetry in bottles.,Rượu vang là thơ ca được chứa đựng trong chai.
Wine is poetry in bottles.,Rượu vang là thơ ca đựng trong chai.
That was the best day of my life.,Đó là 1 ngày tuyệt vời nhất trong cuộc đời của tôi
I don't understand German.,Tôi không hiểu tiếng Đức.
I made my decision.,Tôi đã có quyết định của mình
I give you my word.,Tôi hứa.
I give you my word.,Tôi hứa với bạn
I find foreign languages very interesting.,Tôi thấy ngoại ngữ rất thú vị.
I find foreign languages very interesting.,Tôi thấy tiếng người ngoài rất thú vị
I don't like learning irregular verbs.,Tôi không thích học các động từ bất quy tắc.
Take a book and read it.,Hãy lấy 1 quyển sách và đọc nó
Face life with a smile!,Đối mặt sự sống với một nụ cười!
You make me dream.,Bạn khiến tôi mơ đấy.
The vacation is over now.,Kỳ nghỉ từ đây kết thúc.
The vacation is over now.,Kỳ nghỉ đã hoàn thành xong
Evening dress is desired.,Đầm dạ hội luôn được mong chờ.
That's the absolute truth.,Đó là sự thật tuyệt đối
It's cold.,Lạnh.
It's cold.,Rất lạnh
I'm thirsty.,Tôi khát nước.
I'm thirsty.,Tôi khát nước
"When I ask people what they regret most about high school, they nearly all say the same thing: that they wasted so much time.",Khi tôi hỏi mọi người điều gì khiến họ cảm thấy tiếc nuối khi còn đi học thì phần đông đều trả lời rằng họ đã lãng phí quá nhiều thời gian.
"When you can't do what you want, you do what you can.","Khi bạn không thể làm điều mà bạn muốn , bạn hãy làm điều mà bạn có thể làm"
Give him an inch and he'll take a yard.,Tặng anh ấy 1 inch và anh ấy sẽ tặng lại 1 thước
You did this intentionally!,Bạn cố ý làm phải không!
You didn't tell him anything?,Bạn không nói với anh ấy cái gì à?
You're my type.,Bạn là mẫu của tôi
You're irresistible.,Bạn không thể cưỡng lại được
"Could you call again later, please?",Bạn có thể gọi lại được không?
"Could you call again later, please?",vui lòng bạn có thể gọi lại sau đó
Who am I talking with?,Tôi đang nói chuyện với ai đây?
Who am I talking with?,Tôi đang nói chuyện với ai
"I accept, but only under one condition.","Tôi chấp nhận, nhưng có một điều kiện."
"I accept, but only under one condition.",Tôi chấp nhận nhưng chỉ dưới 1 điều kiện
Life is beautiful.,Cuộc đời thật đẹp
Have you ever eaten a banana pie?,Bạn đã từng ăn bánh chuối chưa
What made you change your mind?,Bạn làm cái gì để thay đổi ý kiến của mình
I love lasagna.,Tôi yêu mì nướng kiểu Ý
I'm at the hospital. I got struck by lightning.,Tôi đang ở trong bệnh viện. Tôi bị đánh bởi sấm sét
Anything that is too stupid to be spoken is sung.,Bất cứ điều gì mà quá ngu ngốc để nói đều là hát
It requires wisdom to understand wisdom: the music is nothing if the audience is deaf.,Để có thể hiểu được sự khôn ngoan thì cần phải có sự khôn ngoan. Âm nhạc sẽ chẳng còn ý nghĩa gì nếu người nghe là người điếc.
I was rereading the letters you sent to me.,Tôi đã đọc lại bức thư mà bạn đã gửi cho tôi
I don't want to go to school.,Tôi không muốn đi học.
I don't want to go to school.,Tôi không muốn đến trường.
It's over between us. Give me back my ring!,Chuyện giữa chúng ta kết thúc rồi. Trả lại tôi chiếc nhẫn!
It is raining.,Trời đang mưa.
It is raining.,Trời đang mưa
"I was planning on going to the beach today, but then it started to rain.",Tôi tính đi ra biển chơi nhưng trời lại bắt đầu mưa.
"I was planning on going to the beach today, but then it started to rain.",Tôi đã lên kế hoạch để đi biển hôm nay nhưng sau đó trời bắt đầu đổ mưa
"She's really smart, isn't she?",Cô ấy thông minh lắm phải không?
"She's really smart, isn't she?","Cô ấy thực thông minh, có phải không?"
"She's really smart, isn't she?",Cô ấy thật sự thông minh đúng không
Justice is expensive.,Công lý rất đắt.
"If two men always have the same opinion, one of them is unnecessary.","Nếu 2 người đàn ông luôn luôn có ý kiến giống nhau , 1 trong số họ là không cần thiết"
"Tomorrow, I'm going to study at the library.",Ngày mai tôi sẽ học ở thư viện.
"Tomorrow, I'm going to study at the library.","Ngày mai , tôi sẽ học ở thư viện"
Too late.,Muộn quá.
Too late.,Quá muộn
I went to the zoo yesterday.,Tôi đã đi sở thú hôm qua
We won the battle.,Chúng tôi đã chiến thắng trận chiến
Hello? Are you still here?,"Này, này, bạn còn ở đó không?"
I make lunch every day.,Tôi làm bữa trưa mỗi ngày
I watched TV this morning.,Tôi đã xem ti vi sáng hôm qua
I read a book while eating.,Tôi đọc sách lúc ăn cơm.
I read a book while eating.,Tôi đọc sách trong khi ăn
I slept a little during lunch break because I was so tired.,"Vào giờ nghỉ trưa, vì quá mệt nên tôi đã chợp mắt một chút."
I slept a little during lunch break because I was so tired.,Tôi đã ngủ 1 chút trong suốt giờ nghỉ trưa bởi vì tôi đã quá mệt
I started learning Chinese last week.,Tuần trước tôi mới bắt đầu học tiếng Trung quốc.
I started learning Chinese last week.,Tôi đã bắt đầu học tiếng Trung từ tuần trước
Your glasses fell on the floor.,Kính của bạn đã rơi trên sàn
How many times a day do you look at yourself in the mirror?,Bạn nhìn mình trong gương bao nhiêu lần 1 ngày
We went to London last year.,Chúng tôi đã đi London vào năm ngoái.
We went to London last year.,Năm ngoái chúng tôi đã đi Luân Đôn.
She doesn't want to talk about it.,Cô ấy không muốn nói về chuyện đấy.
She doesn't want to talk about it.,Cô ấy không muốn nói chuyện với nó
I lost my inspiration.,Tôi đã mất hứng.
I lost my inspiration.,Tôi đã mất hứng thú.
I lost my inspiration.,Tôi đã không còn hứng thú.
I lost my inspiration.,Tôi đã mấy cảm hứng
"If you don't have anything to do, look at the ceiling of your room.","Nếu bạn không có việc gì để làm, hãy nhìn lên trần nhà phòng bạn."
"If you don't have anything to do, look at the ceiling of your room.","Nếu bạn không có việc gì để làm, hãy nhìn lên trần nhà của phòng bạn."
It doesn't mean anything!,Cái đó không có ý nghĩa gì hết mà!
Be patient please. It takes time.,"Làm ơn kiên nhẫn một chút đi, cái này phải tốn thì giờ."
Close the door when you leave.,Hãy đóng của khi bạn rời đi
This is such a sad story.,Đây là một câu chuyện buồn như vậy
"If there's no solution, then there's no problem.",Không tồn tại vấn đề mà không có giải pháp.
My little brother is watching TV.,Em trai của tôi đang xem ti vi
"Most people have a great disinclination to get out of bed early, even if they have to.","Rất nhiều người ngại dậy sớm, cho dù họ phải làm điều đó."
It is good to have ideals... don't you think?,Có lý tưởng là điều tốt... bạn nghĩ sao?
"As the plane was approaching turbulence, the pilot asked the passengers aboard the plane to fasten their seat belts.","Lúc máy bay gặp gió xoáy, phi công yêu cầu hành khách thắt dây an toàn."
"It depends what you mean by ""believe"" in God.","Tùy theo bạn cách nghĩa sự ""tin"" Chúa là sao."
The people who come on the Maury Povich show often make pretentious claims about their lovers cheating on them.,Những người tham gia chương trình Maury Povich thường giả vờ rằng người yêu đang lừa dối họ.
"My friends say I'm a prolific writer, but I haven't written anything for months.",Bạn bè tôi nói tôi là người viết nhiều nhưng mấy tháng rồi tôi chưa viết cái gì hêt.
Johnson is a recluse; he prefers to isolate himself from the rest of the students in our class.,Johnson là người hơi tự kỉ; anh ấy thích tách biệt mình với các học sinh khác trong lớp.
I would like to retract my previous statement.,Tôi muốn rút lại lời tuyên bố trước của tôi.
Tim is a huge fan of satirical comedy.,Tim rất thích truyện cười mỉa mai.
Jimmy tried to cajole his parents into letting him drive across the country with his friends.,Jimmy cố thuyết phục bố mẹ để anh có thể đi vòng quanh đất nước với bạn.
I cannot dance one single step of Salsa.,Một bước Salsa tôi cũng không nhảy được.
I like my job very much.,Tôi thích công việc của tôi rất nhiều
The murderer was convicted and sentenced to life in prison.,Thằng giết người bị xử tù chung thân.
The consensus indicates that we are opposed to the proposed idea.,Cuộc biểu quyết chỉ ra rằng chúng ta phản đối ý kiến được đưa ra.
